,title,release_year,runtime,genre,rating,metascore,gross(M)
576,The Lost Weekend,1945,101,Film-Noir,7.9,0,9.46
577,C.R.A.Z.Y.,2005,129,Comedy,7.9,81,0.0
577,C.R.A.Z.Y.,2005,129,Drama,7.9,81,0.0
578,Elevator to the Gallows,1958,91,Crime,7.9,94,0.11
578,Elevator to the Gallows,1958,91,Drama,7.9,94,0.11
578,Elevator to the Gallows,1958,91,Thriller,7.9,94,0.11
579,Super 30,2019,154,Biography,7.9,0,2.27
579,Super 30,2019,154,Drama,7.9,0,2.27
580,Miracle on 34th Street,1947,96,Comedy,7.9,88,2.65
580,Miracle on 34th Street,1947,96,Drama,7.9,88,2.65
580,Miracle on 34th Street,1947,96,Family,7.9,88,2.65
581,Hiroshima Mon Amour,1959,90,Drama,7.9,0,0.09
581,Hiroshima Mon Amour,1959,90,Romance,7.9,0,0.09
582,The Big Heat,1953,89,Crime,7.9,0,0.0
582,The Big Heat,1953,89,Film-Noir,7.9,0,0.0
582,The Big Heat,1953,89,Thriller,7.9,0,0.0
